image,epsilon,k,energy,psnr,rel_change,time_ms
cameraman,0.1000000015,11,424.8492959,26.25995043,4.221545167e-06,1133.4923
cameraman,0.1000000015,12,424.849092,26.25993799,2.104250715e-06,1234.1267
cameraman,0.1000000015,13,424.8490099,26.25993225,1.074515962e-06,1336.6071
cameraman,0.1000000015,14,424.8489746,26.25992964,5.621768855e-07,1429.6055
cameraman,0.1000000015,15,424.8489598,26.2599284,3.046265875e-07,1548.2409
cameraman,0.1000000015,16,424.8489514,26.25992792,1.758024109e-07,1655.7464
cameraman,0.1000000015,17,424.848948,26.25992766,1.156338554e-07,1756.3491
cameraman,0.1000000015,18,424.8489467,26.25992753,9.0889006e-08,1916.9618
cameraman,0.1000000015,19,424.8489471,26.25992747,8.177331587e-08,2069.4191
cameraman,0.1000000015,20,424.8489465,26.25992749,7.943920105e-08,2271.264
cameraman,0.1000000015,21,424.8489455,26.2599274,7.80728522e-08,2380.6774
cameraman,0.1000000015,22,424.8489462,26.25992745,7.719356579e-08,2475.4201
cameraman,0.1000000015,23,424.8489458,26.25992747,7.648716774e-08,2549.6208
cameraman,0.1000000015,24,424.8489461,26.25992749,7.71419402e-08,2627.8754
cameraman,0.1000000015,25,424.8489461,26.25992744,7.811858259e-08,2698.7129
barbara,0.001000000047,0,975.1064,20.09411666,0,0
barbara,0.001000000047,1,502.3722065,25.10344158,0.1176548589,68.6833
barbara,0.001000000047,2,425.4302361,25.71370015,0.03742916583,139.2979
barbara,0.001000000047,3,403.7391085,25.58624369,0.01710643079,214.9511
barbara,0.001000000047,4,395.7118823,25.42137252,0.00928597436,285.7624
barbara,0.001000000047,5,392.1658925,25.29698642,0.00560945575,354.2306
barbara,0.001000000047,6,390.3917516,25.20872911,0.003657181449,424.6159
barbara,0.001000000047,7,389.4207085,25.14573535,0.002525209344,501.2447
barbara,0.001000000047,8,388.851861,25.09986909,0.001820289028,581.2104
barbara,0.001000000047,9,388.5003029,25.0657645,0.001356435624,691.5494
barbara,0.001000000047,10,388.273446,25.03991526,0.001037690991,776.9614
barbara,0.001000000047,11,388.1217747,25.01998225,0.0008110163516,865.5027
barbara,0.001000000047,12,388.0173368,25.00438062,0.0006453020536,959.0526
barbara,0.001000000047,13,387.943588,24.99201098,0.0005212964407,1050.837
barbara,0.001000000047,14,387.8903561,24.98209096,0.0004266328351,1134.6506
barbara,0.001000000047,15,387.8511986,24.97405357,0.0003531071846,1219.3629
barbara,0.001000000047,16,387.8219127,24.9674834,0.0002951431871,1303.9035
barbara,0.001000000047,17,387.7996864,24.96206651,0.0002488416765,1387.8539
barbara,0.001000000047,18,387.7825952,24.95757014,0.0002114216404,1478.5756
barbara,0.001000000047,19,387.7692914,24.95381207,0.0001808713815,1559.0801
barbara,0.001000000047,20,387.7588213,24.95064907,0.0001556859476,1664.5581
barbara,0.001000000047,21,387.7505006,24.94797417,0.0001347545945,1766.0112
barbara,0.001000000047,22,387.7438267,24.94570182,0.0001172467644,1847.383
barbara,0.001000000047,23,387.7384285,24.94375716,0.000102485155,1950.1995
barbara,0.001000000047,24,387.7340288,24.94208978,8.994140657e-05,2037.0024
barbara,0.001000000047,25,387.7304174,24.94065145,7.92536618e-05,2123.1007
barbara,0.002000000095,0,975.1064,20.09411666,0,0
barbara,0.002000000095,1,502.3778723,25.10342191,0.1176526013,99.3332
barbara,0.002000000095,2,425.4560153,25.71405034,0.03741399578,189.7545
barbara,0.002000000095,3,403.8021867,25.58774076,0.01706642491,278.3425
barbara,0.002000000095,4,395.823658,25.42458235,0.00922596014,384.1571
barbara,0.002000000095,5,392.3285533,25.3020035,0.005543987899,486.4497
barbara,0.002000000095,6,390.6008266,25.2154359,0.003591464985,592.2009
barbara,0.002000000095,7,389.669417,25.15399277,0.002459646025,677.9708
barbara,0.002000000095,8,389.1331154,25.10957899,0.001755839411,766.4584
barbara,0.002000000095,9,388.8076488,25.07684475,0.001293923147,852.954
barbara,0.002000000095,10,388.6015269,25.05227642,0.0009779211643,938.1567
barbara,0.002000000095,11,388.4662496,25.03353857,0.0007545289597,1031.8656
barbara,0.002000000095,12,388.3747615,25.01904716,0.0005923252943,1136.3268
barbara,0.002000000095,13,388.3112965,25.00770134,0.0004718380135,1247.1949
barbara,0.002000000095,14,388.2662739,24.99872218,0.0003806068352,1335.997
barbara,0.002000000095,15,388.2337105,24.99154899,0.0003103505316,1432.5884
barbara,0.002000000095,16,388.2097469,24.9857683,0.0002554604967,1542.858
barbara,0.002000000095,17,388.1918384,24.98107444,0.0002120417995,1654.7881
barbara,0.002000000095,18,388.1782701,24.97723805,0.0001773064749,1754.9315
barbara,0.002000000095,19,388.1678667,24.97408136,0.0001492367154,1863.9134
barbara,0.002000000095,20,388.1597963,24.97147028,0.0001263673617,1984.6852
barbara,0.002000000095,21,388.1534744,24.96929883,0.00010757376,2118.8147
barbara,0.002000000095,22,388.1484759,24.96748482,9.201536666e-05,2234.2816
barbara,0.002000000095,23,388.1444901,24.96596252,7.90661795e-05,2452.5298
barbara,0.002000000095,24,388.1412879,24.9646808,6.820391821e-05,2595.2244
barbara,0.002000000095,25,388.1386962,24.96359724,5.905986849e-05,2719.9564
barbara,0.004999999888,0,975.1064,20.09411666,0,0
barbara,0.004999999888,1,502.4182631,25.10326727,0.1176372108,136.9923
barbara,0.004999999888,2,425.6296757,25.71601608,0.03732030628,234.8731
barbara,0.004999999888,3,404.1757736,25.5954513,0.01687095842,329.4327
barbara,0.004999999888,4,396.4040728,25.43946765,0.008982313865,461.8115
barbara,0.004999999888,5,393.0892577,25.32374774,0.005294568034,586.7267
barbara,0.004999999888,6,391.5052531,25.24334251,0.003349892504,703.6915
barbara,0.004999999888,7,390.6827838,25.18743608,0.002232102459,825.2686
barbara,0.004999999888,8,390.2272034,25.14799765,0.001546266283,945.472
barbara,0.004999999888,9,389.9610607,25.11970655,0.001104026396,1061.0698
barbara,0.004999999888,10,389.7986109,25.09908576,0.0008076083449,1181.5198
barbara,0.004999999888,11,389.6957239,25.08384317,0.0006026035638,1304.8734
barbara,0.004999999888,12,389.6284759,25.07243585,0.0004571012195,1426.7093
barbara,0.004999999888,13,389.5833363,25.06380726,0.0003515620104,1575.9285
barbara,0.004999999888,14,389.552336,25.0572192,0.000273593517,1710.6757
barbara,0.004999999888,15,389.5306158,25.05214781,0.0002150902049,1837.5931
barbara,0.004999999888,16,389.5151383,25.04821564,0.0001705959815,1970.3811
barbara,0.004999999888,17,389.5039395,25.04514677,0.0001363691723,2096.863
barbara,0.004999999888,18,389.4957259,25.04273867,0.0001097670486,2224.9585
