image,sigma,noisy_psnr,method,iterations,lambda,psnr,time_ms
ape,0.200000003,14.34871883,GD,200,0.1000000015,21.35268953,768.0495
ape,0.200000003,14.34871883,GD,200,0.1584893167,22.12232703,786.0607
ape,0.200000003,14.34871883,GD,200,0.2511886358,21.89221296,881.5423
ape,0.200000003,14.34871883,GD,200,0.3981071711,21.50535405,781.045
ape,0.200000003,14.34871883,GD,200,0.630957365,21.24261879,703.7794
ape,0.200000003,14.34871883,GD,200,1,21.03876084,738.909
ape,0.200000003,14.34871883,Newton,15,0.009999999776,15.10852261,1847.8659
ape,0.200000003,14.34871883,Newton,15,0.01584893279,15.5631825,1714.1734
ape,0.200000003,14.34871883,Newton,15,0.02511886507,16.2958375,1333.3656
ape,0.200000003,14.34871883,Newton,15,0.03981071711,17.47244731,1577.2386
ape,0.200000003,14.34871883,Newton,15,0.06309573352,19.27997549,1815.0062
ape,0.200000003,14.34871883,Newton,15,0.1000000015,21.42283697,1636.315
ape,0.200000003,14.34871883,Newton,15,0.1584893167,22.17875021,1559.2768
ape,0.200000003,14.34871883,Newton,15,0.2511886358,21.60446476,1584.4149
ape,0.200000003,14.34871883,Newton,15,0.3981071711,20.93455095,1708.9984
ape,0.200000003,14.34871883,Newton,15,0.630957365,20.32708353,1813.409
ape,0.200000003,14.34871883,Newton,15,1,19.69186755,1535.6645
